   id	CO(g/km)	NOx(g/km)	NMVOC(g/km)	CO2(g/km)	CH4(g/km)	N2O(g/km)	NH3(g/km)	SO2(g/km)	PM2.5(g/km)	GASOLINE(g/km)	DIESEL(g/km)	LPG(g/km)	NEW FUEL(g/km)	FUEL(g/km)	ENERGY(MJ/km)	PM10_brake(g/km)	PM10_brake_min(g/km)	PM10_brake_max(g/km)	PM10_tyre(g/km)	PM10_tyre_min(g/km)	PM10_tyre_max(g/km)	PM10_surf(g/km)	    PM2.5_brake(g/km)	PM2.5_brake_min(g	PM2.5_brake_max(g/km)	PM2.5_tyre(g/km)	PM2.5_tyre_min(g/km)	PM2.5_tyre_max(g/km)	PM2.5_surf(g/km)	PM1_brake(g/km)	PM1_brake_min(g/km)	PM1_brake_max(g/km)	PM1_tyre(g/km)	PM1_tyre_min(g/km)	PM1_tyre_max(g/km)	PM0.1_brake(g/km)	PM0.1_brake_min(g/km)	PM0.1_brake_max(g/km)	PM0.1_tyre(g/km)	PM0.1_tyre_min(g/km)	PM0.1_tyre_max(g/km)
3484	4.489E+04	6.582E+04	1.944E+03	2.632E+07	9.073E+02	7.240E+02	7.657E+02	9.070E+01	1.710E+03	1.989E+06	4.490E+06	0.000E+00	5.113E+03	6.483E+06	3.041E+05	1.747E+02	1.025E+02	2.329E+02	5.140E+02	3.219E+02	7.782E+02	1.055E+03	6.951E+01	4.078E+01	9.267E+01	3.598E+02	2.253E+02	5.448E+02	5.699E+02	1.782E+01	1.046E+01	2.376E+01	5.140E+01	3.219E+01	7.782E+01	1.426E+01	8.364E+00	1.901E+01	4.112E+01	2.575E+01	6.226E+01
3480	4.519E+04	7.153E+04	2.041E+03	2.824E+07	9.618E+02	7.834E+02	7.691E+02	9.605E+01	1.826E+03	1.953E+06	4.908E+06	0.000E+00	5.005E+03	6.866E+06	3.226E+05	1.855E+02	1.088E+02	2.474E+02	5.335E+02	3.340E+02	8.077E+02	1.126E+03	7.384E+01	4.332E+01	9.845E+01	3.734E+02	2.338E+02	5.654E+02	6.081E+02	1.893E+01	1.111E+01	2.524E+01	5.335E+01	3.340E+01	8.077E+01	1.515E+01	8.885E+00	2.019E+01	4.268E+01	2.672E+01	6.462E+01
2531	3.656E+04	5.098E+04	1.536E+03	2.044E+07	7.463E+02	5.572E+02	6.238E+02	7.126E+01	1.337E+03	1.647E+06	3.442E+06	0.000E+00	4.243E+03	5.094E+06	2.386E+05	1.370E+02	8.036E+01	1.826E+02	4.100E+02	2.567E+02	6.208E+02	8.249E+02	5.451E+01	3.198E+01	7.268E+01	2.870E+02	1.797E+02	4.345E+02	4.454E+02	1.398E+01	8.200E+00	1.864E+01	4.100E+01	2.567E+01	6.208E+01	1.118E+01	6.560E+00	1.491E+01	3.280E+01	2.054E+01	4.966E+01
13666	3.338E+04	4.673E+04	1.405E+03	1.872E+07	6.834E+02	5.105E+02	5.695E+02	6.522E+01	1.224E+03	1.502E+06	3.156E+06	0.000E+00	3.862E+03	4.662E+06	2.184E+05	1.254E+02	7.356E+01	1.672E+02	3.749E+02	2.347E+02	5.676E+02	7.553E+02	4.990E+01	2.927E+01	6.653E+01	2.624E+02	1.643E+02	3.973E+02	4.079E+02	1.279E+01	7.506E+00	1.706E+01	3.749E+01	2.347E+01	5.676E+01	1.024E+01	6.005E+00	1.365E+01	2.999E+01	1.878E+01	4.541E+01
13667	2.486E+04	4.581E+04	1.196E+03	1.698E+07	7.477E+02	4.707E+02	4.188E+02	5.740E+01	1.110E+03	1.033E+06	3.067E+06	0.000E+00	2.665E+03	4.102E+06	1.932E+05	1.120E+02	6.570E+01	1.493E+02	3.105E+02	1.944E+02	4.702E+02	6.842E+02	4.456E+01	2.614E+01	5.942E+01	2.174E+02	1.361E+02	3.291E+02	3.695E+02	1.143E+01	6.704E+00	1.524E+01	3.105E+01	1.944E+01	4.702E+01	9.141E+00	5.363E+00	1.219E+01	2.484E+01	1.556E+01	3.761E+01
13668	2.408E+04	3.344E+04	1.003E+03	1.324E+07	5.299E+02	3.588E+02	4.101E+02	4.650E+01	8.735E+02	1.090E+06	2.231E+06	0.000E+00	2.829E+03	3.324E+06	1.557E+05	8.938E+01	5.244E+01	1.192E+02	2.688E+02	1.683E+02	4.069E+02	5.378E+02	3.557E+01	2.087E+01	4.743E+01	1.881E+02	1.178E+02	2.848E+02	2.904E+02	9.121E+00	5.351E+00	1.216E+01	2.688E+01	1.683E+01	4.069E+01	7.297E+00	4.281E+00	9.729E+00	2.150E+01	1.346E+01	3.255E+01
1377	3.793E+04	5.546E+04	1.643E+03	2.223E+07	7.558E+02	6.117E+02	6.468E+02	7.659E+01	1.445E+03	1.680E+06	3.791E+06	0.000E+00	4.297E+03	5.475E+06	2.568E+05	1.473E+02	8.642E+01	1.964E+02	4.337E+02	2.716E+02	6.566E+02	8.900E+02	5.862E+01	3.439E+01	7.816E+01	3.036E+02	1.901E+02	4.596E+02	4.806E+02	1.503E+01	8.818E+00	2.004E+01	4.337E+01	2.716E+01	6.566E+01	1.202E+01	7.054E+00	1.603E+01	3.470E+01	2.173E+01	5.253E+01
1380	3.347E+04	1.945E+04	9.901E+02	1.014E+07	3.364E+02	2.452E+02	5.809E+02	4.150E+01	6.990E+02	1.750E+06	1.215E+06	0.000E+00	4.515E+03	2.969E+06	1.362E+05	7.636E+01	4.480E+01	1.018E+02	2.939E+02	1.840E+02	4.449E+02	4.337E+02	3.039E+01	1.783E+01	4.052E+01	2.057E+02	1.288E+02	3.115E+02	2.342E+02	7.792E+00	4.571E+00	1.039E+01	2.939E+01	1.840E+01	4.449E+01	6.233E+00	3.657E+00	8.311E+00	2.351E+01	1.472E+01	3.560E+01
3586	3.611E+04	2.059E+04	1.068E+03	1.094E+07	3.300E+02	2.655E+02	6.273E+02	4.466E+01	7.508E+02	1.888E+06	1.302E+06	0.000E+00	4.841E+03	3.195E+06	1.466E+05	8.204E+01	4.813E+01	1.094E+02	3.164E+02	1.981E+02	4.790E+02	4.657E+02	3.265E+01	1.915E+01	4.353E+01	2.215E+02	1.387E+02	3.353E+02	2.515E+02	8.371E+00	4.911E+00	1.116E+01	3.164E+01	1.981E+01	4.790E+01	6.697E+00	3.929E+00	8.929E+00	2.531E+01	1.585E+01	3.832E+01
3525	3.893E+04	3.140E+04	1.294E+03	1.474E+07	4.597E+02	3.780E+02	6.731E+02	5.627E+01	9.888E+02	1.952E+06	2.067E+06	0.000E+00	5.005E+03	4.024E+06	1.862E+05	1.052E+02	6.170E+01	1.402E+02	3.688E+02	2.309E+02	5.584E+02	6.117E+02	4.185E+01	2.455E+01	5.580E+01	2.582E+02	1.617E+02	3.909E+02	3.303E+02	1.073E+01	6.296E+00	1.431E+01	3.688E+01	2.309E+01	5.584E+01	8.585E+00	5.037E+00	1.145E+01	2.951E+01	1.848E+01	4.467E+01
