***Fleet composition (%)***			
F_Type	1	2	3
****************************			
*LEVEL1 - FUEL distribution*			
****************************			
*Passenger cars			
Gasoline	67.18	67.17	67.17
Diesel	31.85	31.85	31.84
LPG	0.00	0.00	0.00
Hybrids	0.80	0.79	0.79
New	0.18	0.17	0.17
Total	100.00%	100.00%	100.00%
*Light duty vehicles			
Gasoline	3.88	3.88	3.88
Diesel	96.00	96.00	96.00
New	0.10	0.10	0.10
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles			
Diesel	99.30	99.30	99.30
New	0.69	0.69	0.69
Total	100.00%	100.00%	100.00%
*Urban buses			
Diesel	100.00	100.00	100.00
New	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Coaches			
Diesel	99.88	99.88	99.88
New	0.11	0.11	0.11
Total	100.00%	100.00%	100.00%
*Motorcycles			
Gasoline	100.00	100.00	100.00
Total	100.00%	100.00%	100.00%
****************************			
*LEVEL2 - EURO classes******			
****************************			
*Passenger cars -Gasoline			
Euro0	0.00	0.00	0.00
Euro1	7.47	7.47	7.47
Euro2	7.47	7.47	7.47
Euro3	28.83	28.83	28.83
Euro4	28.83	28.83	28.83
Euro5	11.58	11.58	11.58
Euro6	15.78	15.78	15.78
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel			
Euro0	0.00	0.00	0.00
Euro1	7.47	7.47	7.47
Euro2	7.47	7.47	7.47
Euro3	28.83	28.83	28.83
Euro4	28.83	28.83	28.84
Euro5	11.58	11.58	11.58
Euro6	15.78	15.78	15.78
Total	100.00%	100.00%	100.00%
*Passenger cars -LPG			
Euro0	0.00	0.00	0.00
Euro1	0.00	0.00	0.00
Euro2	0.00	0.00	0.00
Euro3	0.00	0.00	0.00
Euro4	0.00	0.00	0.00
Euro5	0.00	0.00	0.00
Euro6	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Hybrids			
Euro4	28.84	28.84	28.84
Euro5	11.59	11.59	11.59
Euro6	15.79	15.79	15.79
Total	100.00%	100.00%	100.00%
*Passenger cars -New			
Euro0	0.00	0.00	0.00
Euro1	7.48	7.48	7.48
Euro2	7.48	7.48	7.48
Euro3	28.84	28.84	28.84
Euro4	28.84	28.84	28.84
Euro5	11.59	11.59	11.59
Euro6	15.79	15.79	15.79
Total	100.00%	100.00%	100.00%
*Light duty vehicles -Gasoline			
Euro0	0.00	0.00	0.00
Euro1	5.89	5.89	5.89
Euro2	5.89	5.89	5.89
Euro3	24.39	24.39	24.39
Euro4	24.39	24.39	24.39
Euro5	14.82	14.82	14.82
Euro6	24.63	24.63	24.63
Total	100.00%	100.00%	100.00%
*Light duty vehicles -Diesel			
Euro0	0.00	0.00	0.00
Euro1	5.89	5.89	5.89
Euro2	5.89	5.89	5.89
Euro3	24.39	24.39	24.39
Euro4	24.39	24.39	24.39
Euro5	14.82	14.82	14.82
Euro6	24.63	24.63	24.63
Total	100.00%	100.00%	100.00%
*Light duty vehicles -New			
Euro0	0.00	0.00	0.00
Euro1	5.89	5.89	5.89
Euro2	5.89	5.89	5.89
Euro3	24.39	24.39	24.39
Euro4	24.39	24.39	24.39
Euro5	14.82	14.82	14.82
Euro6	24.63	24.63	24.63
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel			
Euro0	0.00	0.00	0.00
Euro1	8.85	8.85	8.85
Euro2	8.85	8.85	8.85
Euro3	10.48	10.48	10.48
Euro4	10.48	10.48	10.48
Euro5	21.85	21.85	21.85
Euro6	39.50	39.50	39.50
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -New			
Euro0	0.00	0.00	0.00
Euro1	8.85	8.85	8.85
Euro2	8.85	8.85	8.85
Euro3	10.48	10.48	10.48
Euro4	10.48	10.48	10.48
Euro5	21.85	21.85	21.85
Euro6	39.50	39.50	39.50
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel			
Euro0	0.00	0.00	0.00
Euro1	0.00	0.00	0.00
Euro2	0.00	0.00	0.00
Euro3	0.00	0.00	0.00
Euro4	0.00	0.00	0.00
Euro5	0.00	0.00	0.00
Euro6	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Urban buses -New			
Euro0	0.00	0.00	0.00
Euro1	0.00	0.00	0.00
Euro2	0.00	0.00	0.00
Euro3	0.00	0.00	0.00
Euro4	0.00	0.00	0.00
Euro5	0.00	0.00	0.00
Euro6	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel			
Euro0	0.00	0.00	0.00
Euro1	6.51	6.51	6.51
Euro2	6.51	6.51	6.51
Euro3	25.61	25.61	25.61
Euro4	25.61	25.61	25.61
Euro5	14.22	14.22	14.22
Euro6	21.53	21.53	21.53
Total	100.00%	100.00%	100.00%
*Coaches -New			
Euro0	0.00	0.00	0.00
Euro1	6.51	6.51	6.51
Euro2	6.51	6.51	6.51
Euro3	25.61	25.61	25.61
Euro4	25.61	25.61	25.61
Euro5	14.22	14.22	14.22
Euro6	21.52	21.52	21.52
Total	100.00%	100.00%	100.00%
*Motorcycles			
Euro0	0.00	0.00	0.00
Euro1	0.00	0.00	0.00
Euro2	0.00	0.00	0.00
Euro3	0.00	0.00	0.00
Euro4	0.00	0.00	0.00
Euro5	0.00	0.00	0.00
Total	0.00	0.00	0.00
****************************			
*LEVEL3 - CAPACITY classes**			
****************************			
*Passenger cars -Gasoline -Euro0			
k001	0.00	0.00	0.00
k002	100.00	100.00	100.00
k003	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro1			
k004	0.00	0.00	0.00
k005	100.00	100.00	100.00
k006	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro2			
k007	0.00	0.00	0.00
k008	100.00	100.00	100.00
k009	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro3			
k010	0.00	0.00	0.00
k011	100.00	100.00	100.00
k012	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro4			
k013	0.00	0.00	0.00
k014	0.00	0.00	0.00
k015	100.00	100.00	100.00
k016	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro5			
k017	0.00	0.00	0.00
k018	0.00	0.00	0.00
k019	100.00	100.00	100.00
k020	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro6			
k021	0.00	0.00	0.00
k022	0.00	0.00	0.00
k023	100.00	100.00	100.00
k024	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro0			
k025	100.00	100.00	100.00
k026	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro1			
k027	100.00	100.00	100.00
k028	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro2			
k029	100.00	100.00	100.00
k030	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro3			
k031	100.00	100.00	100.00
k032	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro4			
k033	0.00	0.00	0.00
k034	100.00	100.00	100.00
k035	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro5			
k036	0.00	0.00	0.00
k037	100.00	100.00	100.00
k038	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro6			
k039	0.00	0.00	0.00
k040	100.00	100.00	100.00
k041	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Hybrids -Euro4			
k042	0.00	0.00	0.00
k043	100.00	100.00	100.00
k044	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Hybrids -Euro5			
k045	0.00	0.00	0.00
k046	100.00	100.00	100.00
