ID	TYPE	PC	LDV	HDV	BUS	COACHES	MOTO	SPEED	LENGTH	GRAD
1	1	52191	8199	17310	0	319	223	110	3	0
2	1	51250	9473	19476	0	215	218	110	4	0
3	1	43235	7514	12736	0	560	204	110	2	0
4	1	39432	6854	11694	0	511	82	110	7	0
5	1	27109	4452	11525	0	1232	101	110	2	0
6	1	28612	8373	7898	0	684	245	110	6	0
7	1	44080	12069	14653	0	202	178	110	6	0
8	1	45916	7654	2093	0	307	880	110	3	0
9	1	49551	8653	2419	0	110	336	110	2	0
10	1	51233	9767	5981	0	85	332	110	3	0
11	1	32311	15557	8547	0	96	126	110	2	0
12	1	50436	7454	11177	0	224	346	110	4	0
13	1	39593	11700	7086	0	103	258	110	4	0
14	1	43860	6998	5419	0	84	324	110	6	0
15	1	45442	11575	12723	0	183	122	110	3	0
16	1	47431	10819	11248	0	159	252	110	3	0
17	1	46516	10499	10790	0	154	247	110	2	0
18	1	56827	12529	6151	0	196	381	110	3	0
19	1	47486	7714	2375	0	166	396	110	2	0
20	1	59980	10616	18330	0	788	292	110	5	0
21	1	51710	8075	19414	0	480	221	110	3	0
22	1	62911	9629	19824	0	378	119	110	5	0
